Part Name,Price pack,Parts per pack,Count Required,Count Optional,Packs Required Only,Packs Required+Optional,Total Price Required Only,Total Price Required+Optional,Supplier,Part Number,keyname,URL
Adafruit Pro Trinket - 5V 16MHz,$9.95,1,1,0,1,1,$9.95,$9.95,Adafruit,2000,Adafruit-2000,http://adafru.it/2000
"Ball Caster - 3/4"" Metal Ball",$4.95,1,1,0,1,1,$4.95,$4.95,Adafruit,1200,Adafruit-1200,http://adafru.it/1200
"4 Position Header Connector 0.100"" (2.54mm) Through Hole Tin",$0.6,1,2,0,2,2,$1.2,$1.2,Digikey,S7002-ND,Digikey-S7002-ND,http://www.digikey.com/product-search/en?keywords=S7002-ND
"CONN HEADER 12POS STR .230"" GOLD",$0.96,1,2,0,2,2,$1.92,$1.92,Digikey,3M11925-ND,Digikey-3M11925-ND,http://www.digikey.com/product-search/en?keywords=3M11925-ND
DIODE SCHOTTKY 20V 1A DO41,$0.43,1,1,0,1,1,$0.43,$0.43,Digikey,497-4547-1-ND,Digikey-497-4547-1-ND,http://www.digikey.com/product-search/en?keywords=497-4547-1-ND
CONN PC VERT 9V SNAP-ON,$1.12,1,1,0,1,1,$1.12,$1.12,Digikey,36-968-ND,Digikey-36-968-ND,http://www.digikey.com/product-search/en?keywords=36-968-ND
CONN HEADER VERT SGL 6POS GOLD,$0.42,1,1,0,1,1,$0.42,$0.42,Digikey,3M9451-ND,Digikey-3M9451-ND,http://www.digikey.com/product-search/en?keywords=3M9451-ND
CAP ALUM 3300UF 20% 25V RADIAL,$1.13,1,1,0,1,1,$1.13,$1.13,Digikey,P5158-ND,Digikey-P5158-ND,http://www.digikey.com/product-search/en?keywords=P5158-ND
CONN HEADER VERT SGL 3POS GOLD,$0.26,1,4,0,4,4,$1.04,$1.04,Digikey,3M9448-ND,Digikey-3M9448-ND,http://www.digikey.com/product-search/en?keywords=3M9448-ND
"12 Position Header Connector 0.100"" (2.54mm) Through Hole Tin",$0.98,1,0,2,0,2,$0.0,$1.96,Digikey,S6100-ND,Digikey-S6100-ND,http://www.digikey.com/product-search/en?keywords=S6100-ND
CAP ALUM 1000UF 20% 25V RADIAL,$0.68,1,3,0,3,3,$2.04,$2.04,Digikey,P5156-ND,Digikey-P5156-ND,http://www.digikey.com/product-search/en?keywords=P5156-ND
BATTERY ALKALINE 9V,$2.38,1,1,0,1,1,$2.38,$2.38,Digikey,N145-ND,Digikey-N145-ND,http://www.digikey.com/product-search/en?keywords=N145-ND
"Solarbotics GMB28 (GM2/GM8 Gear Motor Bracket, Laser-Cut Steel)",$1.49,1,2,0,2,2,$2.98,$2.98,Pololu,602,Pololu-602,http://www.pololu.com/product/602
HXT900 9g / 1.6kg / .12sec Micro Servo,$5.85,1,3,0,3,3,$17.55,$17.55,SolarBotics,25500,SolarBotics-25500,https://solarbotics.com/product/25500
Gear Motor 2 - 224:1 Offset Shaft,$5.75,1,2,0,2,2,$11.5,$11.5,Solarbotics,gm2,Solarbotics-gm2,https://solarbotics.com/product/gm2
GM Series Plastic Wheels,$3.25,1,2,0,2,2,$6.5,$6.5,Solarbotics,gmpw,Solarbotics-gmpw,https://solarbotics.com/product/gmpw
Micro Gripper Kit A - Straight Mount,$5.95,1,2,0,2,2,$11.9,$11.9,SparkFun,13176,SparkFun-13176,http://www.sparkfun.com/products/13176
Hook-up Stranded Wire - Red (22 AWG),$2.95,1,2,0,2,2,$5.9,$5.9,Sparkfun,8865,Sparkfun-8865,http://www.sparkfun.com/products/8865
Hook-up Stranded Wire - Black (22 AWG),$2.95,1,2,0,2,2,$5.9,$5.9,Sparkfun,8867,Sparkfun-8867,http://www.sparkfun.com/products/8867
SparkFun Motor Driver - Dual TB6612FNG (1A),$8.95,1,1,0,1,1,$8.95,$8.95,Sparkfun,9457,Sparkfun-9457,http://www.sparkfun.com/products/9457
"2 Position Header Connector 0.100"" (2.54mm) Through Hole Tin",$0.49,1,1,0,1,1,$0.49,$0.49,digikey,S7000-ND,Digikey-S7000-ND,http://www.digikey.com/product-search/en?keywords=S7000-ND
"Aluminum Female Threaded Hex Standoff; 4.5 mm Hex Size, 8 mm Length, M2.5 Thread Size",$0.54,1,4,0,4,4,$2.16,$2.16,mcmaster,95947A003,mcmaster-95947A003,http://www.mcmaster.com/#95947A003
"Metric Pan Head Phillips Machine Screw; Zinc-Plated Steel, M2.5 Size, 6mm Length, .45mm Pitch",$4.13,100,8,0,1,1,$4.13,$4.13,mcmaster,92005A066,mcmaster-92005A066,http://www.mcmaster.com/#92005A066
"Metric Pan Head Phillips Machine Screw Zinc-Plated Steel, M2.5 Size, 8mm Length, .45mm Pitch",$4.13,100,4,0,1,1,$4.13,$4.13,mcmaster,92005A069,mcmaster-92005A069,http://www.mcmaster.com/#92005A069
"Class 04 Steel Thin Hex Nut - DIN 439B Zinc Plated, M2.5x0.45 Thread Size, 5mm Wide, 1.6mm High",$6.84,100,4,0,1,1,$6.84,$6.84,mcmaster,90695A031,mcmaster-90695A031,http://www.mcmaster.com/#90695A031
"Phillips Thread-Forming Screw for Plastic Zinc-Plated Steel, 4-20 Thread, 1/2"" Length",$7.21,100,4,0,1,1,$7.21,$7.21,mcmaster,90380A110,mcmaster-90380A110,http://www.mcmaster.com/#90380A110
SparkFun USB Mini-B Cable - 6 Foot,$3.95,1,1,0,1,1,$3.95,$3.95,sparkfun,11301,sparkfun-11301,http://www.sparkfun.com/products/11301
SparkFun FTDI Basic Breakout - 5V,$14.95,1,1,0,1,1,$14.95,$14.95,sparkfun,9716,sparkfun-9716,http://www.sparkfun.com/products/9716
""
Total Cost (required only): ,$141.62
Total Cost (everything): ,$143.58
